"name","title","params_text"
IMT,Term AMAZ,Term AMAZ
IMT,Term B,Term B
IMT,Term BD,Term BD
IMT,Term C,Term C
IMT,Term CRW,Term CRW
IMT,Term CS,Term CS
IMT,Term DRM,Term DRM
IMT,Term DUR,Term DUR
IMT,Term E,Term E
IMT,Term E60,Term E60
IMT,Term L,Term L
IMT,Term MV,Term MV
IMT,Term N,Term N
IMT,Term O,Term O
IMT,Term Q,Term Q
IMT,Term SAP,Term SAP
IMT,Term T,Term T
IMT,Term U,Term U
IMT,Term W,Term W
IMT,Term X,Term X
IMT,Term Y,Term Y
IMT,Terminals,Terminals
IMT,Terr 998,Terr 998
IMT,Terr 999,Terr 999
IMT,Thin Clients,Thin Clients
IMT,TopSeller,TopSeller
IMT,Total Notebook Adapters,Total Notebook Adapters
IMT,Touchpads,touchpad trackpad pointing laptop mobile
IMT,Trackballs,Trackball
IMT,Trays/Feeders,Trays Feeders
IMT,Ultra Mobile PC's,Ultra Mobile PC
IMT,Ultrabook,Ultrabook
IMT,Uncover Attach,Uncover Attach
IMT,Uninterruptible Power Supply,Uninterruptible Power Supply
IMT,Unit Dimension,Unit Dimension
IMT,UNSPSC,UNSPSC
IMT,UPC Check Digit,UPC Check Digit
IMT,UPC Flag,UPC Flag
IMT,USB Connectivity,USB Connectivity
IMT,USB HUB,USB HUB
IMT,Video Cards,Video Cards
IMT,Video Ram,"Video RAM, VRAM"
IMT,Video/Capture/Edit,Video\/Capture\/Edit
IMT,Warranty,Warranty
IMT,WIMAX,WIMAX
IMT,Wired Networking Devices,Wired Networking Device
IMT,Wireless Networking Devices,Wireless Networking Devices
IMT,Workstations,Workstations
IMT,Wrist Rests,Wrist Rests
IMT,X86 CPU Chips,X86 CPU Chips Intel AMD
IMT,ABC Code,ABC Code
IMT,Docking Station,Docking Station
IMT,EOL,"EOL, End of life"
IMT,MSRP,Manufacturer's suggested retail price
IMT,Net Price,Net Price
IMT,SD,"Service Design, A stage in the Lifecycle of an IT Service.Service Design includes a number of Process"
IMT,StorageCraft ,StorageCraft
IMT,SWL,SWL Software Long description
IMT,Techsmith ,Techsmith
IMT,Unique SKU,Unique SKU
Procurement,Receiving Discrepancy,"<p>Sometimes when the warehouse processes to receive, the discrepancy will happen and then the buyer will take proper action to close it.<\/p>"
Procurement,DTRD,<p>DTRD is&nbsp;the useful tool that displays purchasing transactions. BUYERs can use DTRD to query both <span style=\
Procurement,Base Cost ,<p>Base Cost<\/p>
Procurement,Bill of Material (BOM),Bill of Material (BOM)
Procurement,Bill Only PO,<p>Bill only PO<\/p>
Procurement,Buffer Stock,Buffer stock is a term to describe a level of extra stock that is maintained to mitigate risk of stoc
Procurement,Buy-In,The action that Buyer brings lots of products into stock. SYNNEX can get more rebates from vendor.
Procurement,CDW weekly suggest report,This report is designed to maintain enough inventory for CDW and to avoid potential heavy aging risk.
Procurement,CDW 7 Day Report,Description is the same as above.
Procurement,CDW C Part Report,This report reviews the EOL parts retrieved from a RDS report and asks sales to take actions accordin
